accuracy_score;cost_per_task_cents;task_complexity;execution_time_seconds;;;
0.8247;0.0164;3;42.59;;;
0.6767;0.011;6;21.94;;;
0.4;0.0494;9;132.89;;;
0.8045;0.0112;3;27.73;;;
0.7309;0.0184;4;46.66;;;
0.4407;0.021;7;49.07;;;
0.558;0.0167;6;38.19;;;
0.6726;0.018;5;42.39;;;
0.7244;0.0126;3;29.15;;;
0.4;0.019;9;39.32;;;
0.4108;0.0201;8;45.04;;;
0.6905;0.0153;4;37.58;;;
0.8285;0.0069;2;16.18;;;
0.6018;0.0126;6;26.71;;;
0.5411;0.0142;6;29.83;;;
0.5996;0.0268;6;67.6;;;
0.4147;0.0252;8;61.25;;;
0.6667;0.0108;3;25.05;;;
0.4;0.0185;9;38.23;;;
0.5818;0.0074;6;10.52;;;
0.6533;0.0099;3;22.63;;;
0.4658;0.0145;6;30.5;;;
0.4156;0.0182;9;36.33;;;
0.8106;0.016;4;39.83;;;
0.6948;0.0186;5;45.84;;;
0.4093;0.0142;9;27.57;;;
0.4;0.0188;10;38.49;;;
0.6002;0.0135;6;27.44;;;
0.5296;0.0163;7;36.11;;;
0.4732;0.0381;6;102.48;;;
0.565;0.0137;6;30.06;;;
0.7816;0.0079;3;15.31;;;
0.7757;0.0117;3;27.41;;;
0.5249;0.0148;6;32.23;;;
0.4;0.045;10;118.17;;;
0.5044;0.0226;7;56.35;;;
0.4;0.0321;9;80.09;;;
0.5172;0.0282;7;70.97;;;
0.4089;0.0165;9;33.53;;;
0.5122;0.0179;8;38.79;;;
0.4794;0.0176;8;38.08;;;
0.5748;0.0173;6;40.43;;;
0.4837;0.0255;8;61.5;;;
0.4744;0.0439;7;116.33;;;
0.6733;0.0164;4;40.06;;;
0.8553;0.0094;2;21.64;;;
0.7078;0.0182;4;45.51;;;
0.6672;0.015;5;33.54;;;
0.6939;0.0104;4;24.03;;;
0.6541;0.0354;6;94.28;;;
0.6861;0.0118;5;23.56;;;
0.7527;0.0126;2;32.58;;;
0.7896;0.0077;2;16.67;;;
0.4368;0.0094;6;17.05;;;
0.6005;0.0174;5;42.42;;;
0.7271;0.021;5;53.6;;;
0.6179;0.0158;5;37.7;;;
0.5636;0.0192;5;47.27;;;
0.7837;0.0068;2;13.63;;;
0.8694;0.0119;2;28.74;;;
0.4559;0.0267;8;64.52;;;
0.6226;0.026;5;68.46;;;
0.4635;0.0157;7;33.77;;;
0.7777;0.0132;3;30.78;;;
0.7685;0.0182;4;46;;;
0.4;0.0201;10;41.7;;;
0.5746;0.0241;7;58.14;;;
0.488;0.0154;7;32.02;;;
0.4;0.0382;10;95.31;;;
0.5007;0.0132;7;25.87;;;
0.6298;0.0074;5;12.15;;;
0.4864;0.014;7;29.26;;;
0.6298;0.0163;4;40;;;
0.6619;0.0164;5;38.87;;;
0.4;0.0219;10;47.39;;;
0.5192;0.0259;7;65.71;;;
0.7007;0.0162;4;37.8;;;
0.4598;0.0371;8;96.62;;;
0.4;0.0199;9;42.58;;;
0.53;0.0386;7;103.52;;;
0.7059;0.0085;5;14.35;;;
0.6592;0.0091;4;18.9;;;
0.4;0.0406;10;105.01;;;
0.8602;0.0065;3;10.25;;;
0.6391;0.0093;4;18.18;;;
0.6278;0.025;5;65.62;;;
0.842;0.0117;2;30.78;;;
0.6281;0.0162;5;38.9;;;
0.5124;0.0126;7;24.75;;;
0.5991;0.0156;5;35.85;;;
0.4909;0.0137;7;28.16;;;
0.5954;0.01;6;16.81;;;
0.4;0.0414;9;108.22;;;
0.5692;0.0131;6;27.13;;;
0.6268;0.0171;6;41.39;;;
0.7058;0.0112;4;21.86;;;
0.4;0.0336;10;83.97;;;
0.617;0.0172;6;39.2;;;
0.4904;0.0195;8;43.39;;;
0.5388;0.041;7;110.61;;;
0.6874;0.0122;4;28.46;;;
0.4914;0.0306;7;77.44;;;
0.525;0.0082;6;12.89;;;
0.6487;0.0202;6;47.51;;;
0.4729;0.029;7;73.57;;;
0.5496;0.0193;6;45.89;;;
0.4;0.0274;10;63.05;;;
0.4778;0.0164;8;34.76;;;
0.4;0.0191;9;40.86;;;
0.4847;0.015;7;30.69;;;
0.663;0.0271;5;69.96;;;
0.5188;0.0264;7;64.31;;;
0.4766;0.0199;8;44.34;;;
0.4952;0.0246;7;61.15;;;
0.5648;0.0347;7;90.62;;;
0.4618;0.0196;8;43.21;;;
0.5883;0.0198;6;45.66;;;
0.4;0.0354;10;87.45;;;
0.6067;0.0172;6;40.33;;;
0.6303;0.0259;5;67.15;;;
0.4;0.0289;10;68.33;;;
0.7448;0.0144;3;36.25;;;
0.4;0.0237;9;55.12;;;
0.8854;0.0085;2;19.14;;;
0.6069;0.0143;6;31.07;;;
0.5081;0.0071;5;11.85;;;
0.5743;0.0133;5;29.94;;;
0.4;0.0208;9;46.4;;;
0.4;0.0356;9;90.45;;;
0.7758;0.0114;3;26.93;;;
0.7041;0.0278;4;74.41;;;
0.5323;0.013;6;27.03;;;
0.4821;0.0318;7;81.81;;;
0.4;0.0266;9;63.3;;;
0.6585;0.0066;3;13.43;;;
0.4;0.0214;8;50.37;;;
0.6879;0.0121;5;26.1;;;
0.4809;0.0151;7;30.36;;;
0.5859;0.0183;5;44.23;;;
0.6686;0.0192;5;46.73;;;
0.4;0.019;10;37.96;;;
0.6306;0.0173;6;39.56;;;
0.4;0.0448;10;116.77;;;
0.8543;0.0129;2;33.42;;;
0.5239;0.0181;8;37.04;;;
0.7207;0.0096;4;19.41;;;
0.5911;0.0147;5;35.49;;;
0.6413;0.0142;5;33.31;;;
0.7126;0.0121;4;27.32;;;
0.6777;0.0127;5;28.55;;;
0.6334;0.0181;4;45.11;;;
0.4;0.0143;10;26.9;;;
0.4749;0.0196;7;44.53;;;
0.7179;0.0115;3;28.11;;;
0.5404;0.0232;6;57.85;;;
0.6686;0.0252;4;66.14;;;
0.4;0.0184;8;39.25;;;
0.6178;0.0146;6;32.58;;;
0.6144;0.0301;6;77.66;;;
0.7133;0.0085;3;17.2;;;
0.8197;0.0114;3;26.34;;;
0.5968;0.0117;5;24.24;;;
0.4;0.0387;9;99.98;;;
0.4264;0.0236;8;54.82;;;
0.6732;0.0114;4;25.44;;;
0.4112;0.0285;9;69.1;;;
0.5641;0.0149;5;33.03;;;
0.5063;0.0303;7;77.02;;;
0.522;0.0151;5;35.43;;;
0.688;0.0216;3;57.17;;;
0.467;0.0147;8;29.62;;;
0.5564;0.0144;6;32.8;;;
0.7925;0.0075;2;16.01;;;
0.4;0.034;8;86.33;;;
0.6575;0.0168;5;38.67;;;
0.5536;0.0158;5;37.16;;;
0.4498;0.0299;7;75.52;;;
0.415;0.0429;9;111.82;;;
0.6212;0.0099;5;18.91;;;
0.5231;0.0127;6;25.08;;;
0.4406;0.0201;8;44.64;;;
0.6815;0.0272;5;71.5;;;
0.6319;0.0243;6;61.18;;;
0.8373;0.0113;2;28.34;;;
0.4265;0.0243;8;59.42;;;
0.7458;0.008;4;12.93;;;
0.5898;0.0163;6;37.41;;;
0.4;0.0221;10;47.51;;;
0.4;0.029;10;68.06;;;
0.6093;0.0129;6;25.36;;;
0.5491;0.0078;6;13.05;;;
0.4961;0.0162;7;34.69;;;
0.6233;0.013;6;26.58;;;
0.6176;0.0157;6;35.42;;;
0.4827;0.0284;9;68.28;;;
0.5915;0.0156;6;35.65;;;
0.5099;0.0205;6;49.97;;;
0.4324;0.0379;9;96.18;;;
0.6596;0.0169;5;39.7;;;
0.4;0.0217;9;48.13;;;
0.6867;0.0168;3;43.8;;;
0.6628;0.0212;5;51.28;;;
0.4;0.0173;10;34.16;;;
0.6174;0.0173;6;40.96;;;
0.4829;0.0151;7;32.24;;;
0.6916;0.0121;4;27.99;;;
0.5685;0.0238;6;60.75;;;
0.5271;0.0412;6;110.91;;;
0.5662;0.0249;6;62.57;;;
0.4699;0.032;8;80.21;;;
0.7764;0.0089;4;16.82;;;
0.4232;0.0284;8;68.51;;;
0.4812;0.0342;7;88.85;;;
0.4;0.0216;8;48.33;;;
0.5288;0.0322;7;84.19;;;
0.7209;0.0174;4;43.24;;;
0.4;0.0319;9;78.69;;;
0.4;0.0138;8;27.03;;;
0.4133;0.013;8;23.79;;;
0.5021;0.0246;7;60.25;;;
0.4181;0.0215;8;49.77;;;
0.4467;0.01;7;13.89;;;
0.4716;0.0255;8;62.24;;;
0.4536;0.0173;8;36.54;;;
0.5562;0.0088;6;15.39;;;
0.7461;0.0075;3;15.4;;;
0.7241;0.008;3;18.49;;;
0.7508;0.0196;4;49.08;;;
0.4;0.0387;9;99.01;;;
0.6373;0.0141;5;31.63;;;
0.4;0.0441;10;116.23;;;
0.6376;0.0118;5;24.75;;;
0.7783;0.007;2;16.53;;;
0.6659;0.009;5;16.74;;;
0.6562;0.0137;5;29.67;;;
0.4544;0.0112;8;18.47;;;
0.6062;0.0077;5;11.48;;;
0.4088;0.031;8;79.45;;;
0.6797;0.0064;4;10.75;;;
0.5902;0.0142;6;30.81;;;
0.509;0.0161;7;35.21;;;
0.6088;0.0279;6;69.9;;;
0.705;0.0157;4;37.95;;;
0.8153;0.0136;3;32.71;;;
0.6;0.0155;5;34.56;;;
0.403;0.0185;9;40.14;;;
0.5858;0.0182;6;43.01;;;
0.5134;0.0328;7;86.78;;;
0.4;0.0144;9;27.02;;;
0.5552;0.0215;5;54.17;;;
0.5539;0.0115;7;20.86;;;
0.4;0.0132;10;21.91;;;
0.5114;0.0157;7;32.35;;;
0.5515;0.0249;7;58.96;;;
0.7793;0.0219;3;59.13;;;
0.6896;0.0114;5;23.64;;;
0.6354;0.0169;6;37.62;;;
0.415;0.0189;9;39.57;;;
0.5249;0.0133;7;26.38;;;
0.5606;0.0267;6;68.27;;;
0.6586;0.0135;6;29.01;;;
0.6436;0.0205;6;49.11;;;
0.652;0.0098;4;21.49;;;
0.4965;0.0388;7;103.68;;;
0.7962;0.0088;2;20;;;
0.5751;0.0169;5;39.95;;;
0.4491;0.0286;9;68.83;;;
0.6211;0.0107;5;21.6;;;
0.4507;0.0279;6;71.21;;;
0.7958;0.0048;2;9.89;;;
0.7482;0.0086;2;21.28;;;
0.5863;0.0339;6;89.89;;;
0.8234;0.0102;2;25.44;;;
0.685;0.022;4;55.98;;;
0.4925;0.0263;8;64.43;;;
0.5022;0.0268;7;67.14;;;
0.5914;0.0097;5;18.61;;;
0.4622;0.0148;7;31.24;;;
0.73;0.0106;3;24.86;;;
0.4438;0.0403;8;105.21;;;
0.6259;0.0094;5;17.19;;;
0.5882;0.0152;4;36.05;;;
0.4247;0.0195;8;44.05;;;
0.4;0.0211;8;48.79;;;
0.636;0.0272;5;72.01;;;
0.7725;0.0142;3;34.8;;;
0.7796;0.0126;2;30.64;;;
0.6901;0.0196;5;50.15;;;
0.7301;0.0117;4;24.71;;;
0.6835;0.0231;5;58.26;;;
0.4109;0.0187;8;40;;;
0.5523;0.0112;6;22.95;;;
0.669;0.0244;5;63.69;;;
0.5913;0.0096;6;17.88;;;
0.7059;0.0202;4;51.5;;;
0.6086;0.0217;6;53.11;;;
0.4343;0.0309;10;73.67;;;
0.4;0.0309;10;73.96;;;
0.6366;0.0125;5;28.15;;;
0.5084;0.009;6;14.95;;;
0.6987;0.0118;2;28.7;;;
0.4005;0.0281;8;68.14;;;
0.4959;0.0091;6;15.81;;;
0.4967;0.0148;8;28.72;;;
0.482;0.0102;7;17.57;;;
0.6776;0.0186;5;45.46;;;
0.6383;0.0165;6;35.65;;;
0.4;0.0389;10;97.99;;;
0.63;0.0118;5;25.94;;;
0.5642;0.0184;6;42.79;;;
0.6352;0.0141;6;29.81;;;
0.4617;0.0199;8;44.34;;;
0.5433;0.0307;6;81.29;;;
0.5887;0.014;5;30.82;;;
0.4558;0.0211;7;50.9;;;
0.5428;0.0161;7;35.58;;;
0.5358;0.0159;6;37;;;
0.7279;0.0137;4;30.96;;;
0.7001;0.0229;4;60.59;;;
0.5338;0.0162;6;36.55;;;
0.7687;0.0127;3;29.66;;;
0.4;0.0495;9;131.69;;;
0.4;0.0267;9;65.11;;;
0.6036;0.0227;5;57.43;;;
0.7347;0.0049;2;7.75;;;
0.6549;0.0282;4;75.98;;;
0.5334;0.0212;5;53.46;;;
0.6114;0.0194;6;45.92;;;
0.6488;0.0133;4;32.42;;;
0.4826;0.0312;8;78.52;;;
0.8054;0.0123;3;29.65;;;
0.4151;0.0284;9;67.87;;;
0.6623;0.0173;6;40.46;;;
0.7535;0.0098;3;22.7;;;
0.59;0.018;4;45.98;;;
0.6625;0.018;4;45.7;;;
0.4;0.0251;10;57.5;;;
0.4;0.0238;10;54.49;;;
0.4514;0.0223;7;54.88;;;
0.4;0.016;9;31.18;;;
0.5725;0.0221;6;52.16;;;
0.4687;0.0213;7;52.1;;;
0.7362;0.0247;4;64.49;;;
0.6084;0.0117;6;22.91;;;
0.6402;0.0146;5;33.66;;;
0.5504;0.0108;6;19.8;;;
0.7407;0.0132;5;29.52;;;
0.598;0.0184;5;44.78;;;
0.6222;0.0136;5;29.94;;;
0.7683;0.0181;3;45.75;;;
0.6693;0.0172;5;41.36;;;
0.5923;0.0168;6;38.7;;;
0.6;0.0115;6;22.3;;;
0.6877;0.0095;3;20.72;;;
0.6282;0.0185;5;44.14;;;
0.6093;0.0262;6;66;;;
0.4331;0.057;8;157.15;;;
0.6904;0.0159;4;38.87;;;
0.7089;0.0097;4;20.34;;;
0.7523;0.0133;3;32.33;;;
0.4683;0.0332;9;80.52;;;
0.5181;0.0111;6;22.42;;;
0.6682;0.012;4;26.25;;;
0.4407;0.0178;8;36.49;;;
0.6617;0.0114;4;24.62;;;
0.4;0.0369;9;93.5;;;
0.4;0.0329;9;82.57;;;
0.7306;0.0133;3;32.68;;;
0.4535;0.022;7;52.23;;;
0.4;0.0255;10;58.64;;;
0.7654;0.0149;3;37.18;;;
0.7027;0.0225;4;59.49;;;
0.6189;0.0234;6;58.21;;;
0.553;0.0111;6;19.93;;;
0.7391;0.0273;4;71.31;;;
0.6919;0.0188;4;49.07;;;
0.5067;0.013;7;26.65;;;
0.6022;0.0162;5;38.14;;;
0.7768;0.0097;4;21.11;;;
0.6638;0.0344;6;90.54;;;
0.429;0.0255;8;60.54;;;
0.6231;0.0178;5;41.96;;;
0.6426;0.0089;5;16.01;;;
0.689;0.0256;4;68.12;;;
0.6909;0.0129;3;32.84;;;
0.6949;0.0076;4;13.58;;;
0.5035;0.0321;8;80.91;;;
0.7215;0.0114;4;25.24;;;
0.7964;0.012;2;27.89;;;
0.5836;0.0198;6;45.88;;;
0.6103;0.0308;6;79.57;;;
0.6208;0.0141;5;32.2;;;
0.6027;0.0127;4;28.57;;;
0.5165;0.0263;8;64.88;;;
0.6328;0.0139;4;31.63;;;
0.7464;0.0221;4;57.23;;;
0.4924;0.0307;7;79.16;;;
0.6841;0.0176;4;45.01;;;
0.4232;0.0218;9;49.44;;;
0.4661;0.0149;8;30.05;;;
0.6112;0.0216;5;53.12;;;
0.5637;0.0393;6;105.87;;;
0.5591;0.018;6;41.43;;;
0.668;0.0139;4;34.48;;;
0.7049;0.0141;4;34.9;;;
0.4127;0.0197;8;46.24;;;
0.566;0.0135;6;28.11;;;
0.5664;0.0264;7;65.94;;;
0.7474;0.013;3;31.53;;;
0.6046;0.0256;6;64.16;;;
0.4524;0.0382;8;99.56;;;
0.5569;0.0098;7;15.85;;;
0.5918;0.0272;5;71.27;;;
0.6709;0.0177;5;41.84;;;
0.7005;0.0089;4;18.91;;;
0.4238;0.0472;8;127.93;;;
0.4186;0.027;9;64.49;;;
0.4632;0.0229;9;53.54;;;
0.6792;0.0079;5;12.52;;;
0.4523;0.0143;7;29.21;;;
0.4609;0.0172;7;36.59;;;
0.7458;0.013;3;31.03;;;
0.7025;0.0111;4;24.79;;;
0.4753;0.0162;8;34.48;;;
0.6567;0.0115;5;24.92;;;
0.4616;0.0157;8;31.98;;;
0.4;0.0115;9;18.06;;;
0.5618;0.0146;7;29.66;;;
0.6681;0.0093;4;17.76;;;
0.4233;0.0236;8;56.85;;;
0.4547;0.0196;7;43.55;;;
0.5476;0.0138;6;30.54;;;
0.4;0.0398;9;102.79;;;
0.6186;0.0095;5;18.07;;;
0.6855;0.0212;4;54.24;;;
0.6108;0.0419;7;111.96;;;
0.7748;0.017;3;43.88;;;
0.4;0.0231;8;54.61;;;
0.6291;0.0159;5;37.81;;;
0.5922;0.0164;6;38.02;;;
0.6797;0.0167;5;41.62;;;
0.6041;0.0045;5;3.81;;;
0.5615;0.0194;6;47.97;;;
0.4823;0.0205;7;46.36;;;
0.6428;0.0087;3;17.16;;;
0.4843;0.0189;7;41.41;;;
0.6076;0.0096;5;17.9;;;
0.5009;0.0301;7;77.43;;;
0.7607;0.0174;4;43.74;;;
0.4452;0.016;7;34.85;;;
0.8514;0.0094;2;20.76;;;
0.4749;0.0448;8;119.64;;;
0.5863;0.0121;5;24.81;;;
0.5282;0.0217;7;52.31;;;
0.4;0.0352;9;88.5;;;
0.4266;0.0317;10;76.87;;;
0.7529;0.008;3;15.3;;;
0.5458;0.0071;6;10.62;;;
0.8907;0.006;2;10.35;;;
0.505;0.0253;8;61.05;;;
0.6852;0.0083;5;13.21;;;
0.4;0.0162;9;31.54;;;
0.4402;0.0403;9;105.37;;;
0.4163;0.0366;8;94.52;;;
0.5657;0.0092;6;15.71;;;
0.6059;0.0097;6;16.72;;;
0.6598;0.0093;3;19.39;;;
0.4;0.0217;10;46.55;;;
0.6158;0.013;6;26.39;;;
0.6513;0.0147;5;32.62;;;
0.7056;0.0262;4;69.66;;;
0.6758;0.0079;4;15.87;;;
0.4;0.0232;9;51.91;;;
0.4936;0.0323;8;84.01;;;
0.4;0.0243;10;53.17;;;
0.4483;0.0205;7;48.31;;;
0.4814;0.0383;8;100.16;;;
0.4811;0.0149;7;31.71;;;
0.6869;0.0205;4;52.42;;;
0.5007;0.0288;8;72.31;;;
0.4771;0.0156;8;32.79;;;
0.4;0.0196;9;41.9;;;
0.4698;0.0163;7;37.26;;;
0.4;0.0209;10;43.94;;;
0.6522;0.0116;5;24.58;;;
0.7907;0.0145;3;35.51;;;
0.5266;0.0345;7;88.82;;;
0.6294;0.0242;5;62.03;;;
0.4379;0.0131;8;25.11;;;
0.5797;0.0168;7;38.39;;;
0.4;0.0322;10;78.34;;;
0.4;0.0207;9;45.44;;;
0.4;0.0244;10;54.94;;;
0.7244;0.0126;4;27.55;;;
0.4;0.0386;10;97.2;;;
0.5267;0.0165;6;38.77;;;
0.525;0.0549;8;150.23;;;
0.6531;0.0121;4;27.39;;;
0.7426;0.0228;4;59.12;;;
0.6334;0.022;5;54.82;;;
0.6307;0.0171;5;41.88;;;
0.5407;0.015;6;31.97;;;
0.5937;0.0169;7;38.25;;;
0.7279;0.0131;4;29.73;;;
0.5306;0.0157;5;35.91;;;
0.5646;0.0101;6;18.81;;;
0.6224;0.014;6;28.62;;;
0.5312;0.0255;6;66.11;;;
0.4;0.0377;10;94.42;;;
0.5537;0.0354;7;91.94;;;
0.7567;0.0068;2;14.24;;;
0.5516;0.036;6;97.62;;;
0.5208;0.0102;7;17.31;;;
0.5113;0.0267;7;66.36;;;
0.5783;0.0208;6;50.83;;;
0.6572;0.0105;5;20.9;;;
0.5095;0.0201;7;46.09;;;
0.505;0.0105;7;17.88;;;
0.636;0.0157;5;34.65;;;
0.5812;0.0149;6;33.19;;;
0.4457;0.02;7;46.5;;;
0.7487;0.0075;3;14.74;;;
0.5384;0.02;7;47.23;;;
0.4085;0.0428;9;112.24;;;
0.6968;0.0302;4;81.96;;;
0.55;0.0151;7;30.89;;;
0.7102;0.0172;3;43.55;;;
0.6455;0.0118;4;24.89;;;
0.4733;0.0326;8;83.56;;;
0.4681;0.0098;7;16.81;;;
0.5035;0.0223;7;54.16;;;
0.7018;0.0106;5;21.42;;;
0.6714;0.0097;4;20.47;;;
0.6099;0.0104;5;19.81;;;
0.5473;0.0179;6;40.82;;;
0.6605;0.0258;6;64.51;;;
0.5552;0.0184;7;42.94;;;
0.8382;0.0114;2;27.99;;;
0.4857;0.0201;6;48.58;;;
0.5318;0.011;6;21.75;;;
0.4;0.0176;10;35.11;;;
0.5769;0.0187;4;47.05;;;
0.7481;0.0077;4;14.39;;;
0.7221;0.0167;4;40.29;;;
0.5351;0.0257;7;64.12;;;
0.7049;0.0106;4;23.68;;;
0.4037;0.0173;8;38.4;;;
0.6413;0.0163;5;40.32;;;
0.5216;0.0383;7;101.44;;;
0.6143;0.0137;5;28.7;;;
0.6641;0.0161;4;39.66;;;
0.6448;0.0228;5;59.57;;;
0.7306;0.0068;3;12.61;;;
0.4571;0.022;7;52.72;;;
0.8391;0.0049;2;9;;;
0.4451;0.0192;8;43.31;;;
0.4557;0.0222;9;50.94;;;
0.5503;0.0186;5;46.36;;;
0.7337;0.0214;4;56.28;;;
0.5201;0.0079;6;11.31;;;
0.8309;0.0122;2;30.38;;;
0.4;0.0216;10;47.63;;;
0.4509;0.0533;7;145.63;;;
0.5792;0.027;5;69.22;;;
0.7912;0.0118;3;26.84;;;
0.464;0.0168;8;35.41;;;
0.6212;0.0117;5;22.8;;;
0.4635;0.0411;8;108.55;;;
0.6023;0.0154;5;34.02;;;
0.679;0.015;4;35.38;;;
0.465;0.0197;8;44.48;;;
0.6409;0.0129;5;26.38;;;
0.7663;0.01;3;24.04;;;
0.6513;0.0114;4;26.11;;;
0.6748;0.0232;5;58.35;;;
0.6465;0.011;4;23.01;;;
0.7014;0.0117;4;27.21;;;
0.4394;0.0359;7;92.96;;;
0.4718;0.034;6;89.54;;;
0.5029;0.0172;7;38.61;;;
0.6768;0.0116;5;24.32;;;
0.4201;0.0161;7;34.99;;;
0.4818;0.0162;8;32.4;;;
0.6013;0.0138;6;28.29;;;
0.6669;0.009;4;17.76;;;
0.574;0.0472;7;129.03;;;
0.5958;0.0188;6;44.12;;;
0.6324;0.0118;6;23.31;;;
0.647;0.0205;4;52.5;;;
0.5186;0.0177;7;41.35;;;
0.5401;0.0048;7;1;;;
0.675;0.0099;3;23.39;;;
0.4851;0.0127;8;23.23;;;
0.6169;0.0133;6;27.49;;;
0.484;0.0235;8;57.31;;;
0.4;0.0188;10;39.53;;;
0.5364;0.0428;7;114.84;;;
0.4369;0.0208;8;45.59;;;
0.6016;0.0175;5;40.92;;;
0.4;0.0323;10;79.22;;;
0.7168;0.0289;5;75.13;;;
0.769;0.0068;2;13.66;;;
0.5868;0.0169;5;40.84;;;
0.4;0.053;9;142.61;;;
0.6376;0.0121;4;27.48;;;
0.4;0.0265;10;60.84;;;
0.4764;0.028;7;70.31;;;
0.4;0.0386;9;99.65;;;
0.4695;0.0334;8;85.06;;;
0.4338;0.0271;8;66.44;;;
0.5882;0.014;6;29.54;;;
0.4;0.0143;9;27.13;;;
0.6261;0.0306;4;83.44;;;
0.6624;0.0216;4;56.85;;;
0.6096;0.0081;5;15.81;;;
0.7477;0.0142;3;35.05;;;
0.8447;0.0047;3;8.68;;;
0.5113;0.0311;7;80.43;;;
0.4;0.0465;10;121.83;;;
0.7643;0.0136;3;32.65;;;
0.7441;0.0209;5;53.07;;;
0.6554;0.0133;5;28.11;;;
0.4908;0.0257;7;64;;;
0.5047;0.0135;7;25.76;;;
0.4;0.0214;8;49.43;;;
0.4318;0.0377;9;95.13;;;
0.4179;0.0284;8;70.34;;;
0.6905;0.0114;4;24.37;;;
0.7204;0.0095;4;17.66;;;
0.6218;0.0278;6;70.65;;;
0.654;0.0146;5;35.53;;;
0.637;0.0151;6;33.8;;;
0.6233;0.0118;4;28.84;;;
0.4;0.026;10;61.18;;;
0.7228;0.0215;5;53.63;;;
0.6883;0.0162;5;38.25;;;
0.407;0.0299;9;72.82;;;
0.4163;0.0344;7;89.94;;;
0.4767;0.0343;7;89.44;;;
0.5085;0.0281;6;71.21;;;
0.4962;0.0217;8;48.3;;;
0.5068;0.0147;7;31.42;;;
0.491;0.0123;8;22.5;;;
0.5056;0.0181;7;40.26;;;
0.6727;0.0266;5;68.17;;;
0.4116;0.0378;9;98.31;;;
0.4;0.0207;8;47.43;;;
0.6239;0.0154;6;34.76;;;
0.4445;0.015;7;33.01;;;
0.5365;0.0119;6;23.36;;;
0.5272;0.0283;7;71.97;;;
0.7523;0.0189;4;48.98;;;
0.4;0.0274;9;65.31;;;
0.4541;0.013;7;24.56;;;
0.6025;0.0219;5;54.42;;;
0.7553;0.0112;3;25.7;;;
0.7908;0.0137;3;32.87;;;
0.6228;0.0174;5;40.71;;;
0.4427;0.0445;8;118.89;;;
0.4;0.0353;10;89.7;;;
0.4159;0.0273;8;68.79;;;
0.7303;0.0144;5;33;;;
0.4;0.0183;9;39.1;;;
0.7088;0.0225;4;57.79;;;
0.559;0.0126;5;26.06;;;
0.4252;0.0195;8;44.21;;;
0.6085;0.0102;5;19.85;;;
0.4;0.0338;9;84.79;;;
0.7296;0.011;3;26.63;;;
0.6094;0.011;6;21.71;;;
0.5564;0.0135;6;28.89;;;
0.419;0.0298;8;74;;;
0.7555;0.0253;4;66.19;;;
0.5084;0.0226;7;53.37;;;
0.5065;0.0176;8;36.88;;;
0.5696;0.0124;6;25.83;;;
0.6181;0.0063;5;7.22;;;
0.7437;0.0123;3;28.39;;;
0.4005;0.0258;9;59.41;;;
0.8368;0.0121;2;30.01;;;
0.5063;0.024;7;58.49;;;
0.5118;0.0107;7;19.88;;;
0.7008;0.0206;4;52.15;;;
0.9596;0.0084;2;19.42;;;
0.5794;0.0133;6;29.23;;;
0.5094;0.0253;7;62.1;;;
0.6391;0.0188;5;47.02;;;
0.6247;0.0126;4;28.15;;;
0.4;0.0318;10;75.92;;;
0.5417;0.011;6;21.1;;;
0.5303;0.0449;7;120.37;;;
0.4702;0.0204;7;48.49;;;
0.5549;0.0379;7;100.89;;;
0.4414;0.0207;9;45.01;;;
0.6579;0.0149;5;34.4;;;
0.6306;0.0132;5;28.67;;;
0.4264;0.0147;9;26.21;;;
0.6439;0.007;4;12.35;;;
0.4;0.0372;10;93.56;;;
0.772;0.0083;2;18.37;;;
0.4;0.0192;8;43.94;;;
0.4901;0.0285;8;70.15;;;
0.402;0.0195;8;42.64;;;
0.5856;0.0189;6;44.81;;;
0.4791;0.0184;8;39.68;;;
0.4;0.0255;9;60;;;
0.4;0.0129;10;21.46;;;
0.7055;0.0136;4;32.23;;;
0.4;0.0464;9;121.77;;;
0.4799;0.0221;7;53.01;;;
0.7872;0.0344;4;94.42;;;
0.6963;0.0203;4;52.01;;;
0.6417;0.0137;6;30.02;;;
0.4;0.0179;9;37.55;;;
0.6773;0.0111;3;26.92;;;
0.6393;0.0208;6;50.99;;;
0.4949;0.0427;7;114.24;;;
0.7646;0.0082;4;16.18;;;
0.4852;0.0379;7;100.85;;;
0.4666;0.0214;8;47.34;;;
0.5917;0.0269;6;68.72;;;
0.7577;0.0076;3;15.55;;;
0.4988;0.0446;8;118.41;;;
0.4;0.0338;10;83.83;;;
0.8503;0.0081;2;17.57;;;
0.5534;0.0197;6;47.37;;;
0.4598;0.0153;8;30.31;;;
0.4;0.0266;9;62.88;;;
0.4;0.0395;8;102.15;;;
0.5441;0.0149;7;32.27;;;
0.6863;0.0136;4;33.7;;;
0.7443;0.015;4;36.34;;;
0.4;0.0188;10;38.58;;;
0.5791;0.0154;6;35.31;;;
0.6833;0.0177;4;45.7;;;
0.5031;0.0233;6;58.31;;;
0.6479;0.0124;5;27.69;;;
0.4;0.0378;8;99.55;;;
0.7358;0.01;3;22.68;;;
0.4948;0.0181;7;39.76;;;
0.7494;0.0148;3;37.63;;;
0.6079;0.0349;5;95.1;;;
0.4648;0.014;7;29.01;;;
0.6099;0.011;5;22.98;;;
0.7922;0.0079;2;17.01;;;
0.7808;0.0166;3;42.72;;;
0.8168;0.0103;3;23.1;;;
0.6053;0.0206;7;47.61;;;
